#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment	new_name
CMU001725F	CMU000008F	CMU000444F	95.85	138.85	HAPLOTIG	000007F_002
CMU001086F	CMU000009F	CMU000012F	73.28	103.13	HAPLOTIG	000008F_000
CMU001559F	CMU000009F	CMU000188F	99.86	272.66	REPEAT	000008F_001
CMU002329F	CMU000009F	CMU001113F	79.58	91.13	HAPLOTIG	000008F_002
CMU003117F	CMU000009F	CMU000014F	99.90	193.86	HAPLOTIG	000008F_003
CMU003262F	CMU000009F	CMU000000F	87.52	325.99	REPEAT	000008F_004
CMU001248F	CMU000012F	CMU000018F	71.95	136.31	HAPLOTIG	000009F_000
CMU001175F	CMU000012F	CMU000070F	70.64	175.03	HAPLOTIG	000009F_001
CMU001362F	CMU000012F	CMU000264F	71.12	149.21	HAPLOTIG	000009F_002
CMU001475F	CMU000012F	CMU000096F	72.56	462.57	REPEAT	000009F_003
CMU001333F	CMU000012F	CMU001661F	90.89	255.33	REPEAT	000009F_004
CMU001516F	CMU000012F	CMU000034F	78.89	271.10	REPEAT	000009F_005
CMU001557F	CMU000012F	CMU001642F	87.19	148.86	HAPLOTIG	000009F_006
CMU001694F	CMU000012F	CMU000030F	79.85	169.82	HAPLOTIG	000009F_007
CMU002242F	CMU000012F	CMU000018F	75.36	447.73	REPEAT	000009F_008
CMU002950F	CMU000012F	CMU000055F	99.76	261.54	REPEAT	000009F_009
CMU003513F	CMU000012F	CMU000014F	94.70	182.78	HAPLOTIG	000009F_010
CMU003579F	CMU000012F	CMU001472F	0	0	REPEAT	000009F_011
CMU001476F	CMU000014F	CMU000012F	73.26	155.59	HAPLOTIG	000011F_000
CMU001679F	CMU000014F	CMU000467F	87.90	325.02	REPEAT	000011F_001
CMU001948F	CMU000014F	CMU000206F	99.86	415.69	REPEAT	000011F_002
CMU002539F	CMU000014F	CMU000034F	75.45	367.30	REPEAT	000011F_003
CMU002814F	CMU000014F	CMU001102F	94.85	334.98	REPEAT	000011F_004
CMU002736F	CMU000014F	CMU000012F	85.58	207.68	HAPLOTIG	000011F_005
CMU003033F	CMU000014F	CMU000938F	94.32	771.45	REPEAT	000011F_006
CMU003248F	CMU000014F	CMU000057F	87.23	229.36	HAPLOTIG	000011F_007
CMU003272F	CMU000015F	CMU001799F	98.72	149.13	HAPLOTIG	000012F_000
CMU003346F	CMU000015F	CMU000586F	80.00	155.00	HAPLOTIG	000012F_001
CMU002119F	CMU000016F	CMU000112F	99.99	102.61	HAPLOTIG	000013F_000
CMU002861F	CMU000016F	CMU000077F	99.26	143.22	HAPLOTIG	000013F_001
CMU002677F	CMU000018F	CMU000359F	99.96	251.27	REPEAT	000014F_000
CMU002809F	CMU000018F	CMU000404F	86.63	178.42	HAPLOTIG	000014F_001
CMU001069F	CMU000019F	CMU001320F	96.19	262.91	REPEAT	000015F_000
CMU001055F	CMU000019F	CMU001320F	99.40	580.16	REPEAT	000015F_001
CMU001187F	CMU000019F	CMU001320F	96.31	762.82	REPEAT	000015F_002
CMU002114F	CMU000019F	CMU002143F	85.59	125.75	HAPLOTIG	000015F_003
CMU002285F	CMU000019F	CMU001596F	74.77	120.63	HAPLOTIG	000015F_004
CMU002396F	CMU000019F	CMU000301F	99.89	1745.58	REPEAT	000015F_005
CMU002782F	CMU000019F	CMU000031F	99.99	122.85	HAPLOTIG	000015F_006
CMU002570F	CMU000019F	CMU000301F	99.98	2908.95	REPEAT	000015F_007
CMU002542F	CMU000019F	CMU000000F	100.00	261.95	REPEAT	000015F_008
CMU002919F	CMU000019F	CMU000010F	99.88	414.29	REPEAT	000015F_009
CMU002829F	CMU000019F	CMU000304F	99.95	749.27	REPEAT	000015F_010
CMU002944F	CMU000019F	CMU000301F	87.53	2775.75	REPEAT	000015F_011
CMU002975F	CMU000019F	CMU000116F	99.94	2857.84	REPEAT	000015F_012
CMU003289F	CMU000019F	CMU000620F	99.72	114.93	HAPLOTIG	000015F_013
CMU001477F	CMU000017F	CMU000000F	100.00	169.81	HAPLOTIG	000016F_000
CMU002608F	CMU000017F	CMU000544F	99.72	107.20	HAPLOTIG	000016F_001
CMU001909F	CMU000020F	CMU000367F	99.86	187.64	HAPLOTIG	000017F_000
CMU002843F	CMU000020F	CMU001399F	99.97	105.83	HAPLOTIG	000017F_001
CMU001860F	CMU000025F	CMU000680F	82.16	84.27	HAPLOTIG	000018F_000
CMU002059F	CMU000025F	CMU000091F	82.97	100.36	HAPLOTIG	000018F_001
CMU002378F	CMU000025F	CMU000020F	99.96	102.13	HAPLOTIG	000018F_002
CMU002333F	CMU000025F	CMU000019F	100.00	279.61	REPEAT	000018F_003
CMU002425F	CMU000025F	CMU000014F	95.59	194.80	HAPLOTIG	000018F_004
CMU002985F	CMU000025F	CMU000164F	99.95	101.62	HAPLOTIG	000018F_005
CMU003116F	CMU000025F	CMU000502F	99.99	100.82	HAPLOTIG	000018F_006
CMU000899F	CMU000021F	CMU000019F	100.00	105.01	HAPLOTIG	000019F_000
CMU001419F	CMU000021F	CMU001346F	75.41	136.37	HAPLOTIG	000019F_001
CMU001819F	CMU000021F	CMU000002F	95.10	99.64	HAPLOTIG	000019F_002
CMU002092F	CMU000021F	CMU000002F	99.96	245.15	HAPLOTIG	000019F_003
CMU002490F	CMU000021F	CMU000002F	99.99	133.89	HAPLOTIG	000019F_004
CMU002862F	CMU000021F	CMU000027F	100.00	106.22	HAPLOTIG	000019F_005
CMU002346F	CMU000022F	CMU000017F	88.16	90.10	HAPLOTIG	000020F_000
CMU002575F	CMU000022F	CMU000110F	99.99	144.62	HAPLOTIG	000020F_001
CMU002826F	CMU000022F	CMU000822F	99.99	99.99	HAPLOTIG	000020F_002
CMU001923F	CMU000024F	CMU000001F	100.00	152.42	HAPLOTIG	000021F_000
CMU003000F	CMU000024F	CMU000002F	76.78	76.85	HAPLOTIG	000021F_001
CMU001602F	CMU000027F	CMU000412F	96.72	129.31	HAPLOTIG	000022F_000
CMU001894F	CMU000027F	CMU000215F	99.99	111.07	HAPLOTIG	000022F_001
CMU002031F	CMU000027F	CMU002094F	100.00	104.41	HAPLOTIG	000022F_002
CMU002384F	CMU000027F	CMU000015F	100.00	148.63	HAPLOTIG	000022F_003
CMU002640F	CMU000027F	CMU000007F	100.00	136.17	HAPLOTIG	000022F_004
CMU002299F	CMU000034F	CMU000195F	74.30	113.53	HAPLOTIG	000023F_000
CMU003120F	CMU000034F	CMU001225F	99.13	176.91	HAPLOTIG	000023F_001
CMU002827F	CMU000026F	CMU001163F	99.95	118.25	HAPLOTIG	000024F_000
CMU003109F	CMU000026F	CMU000000F	100.00	297.60	REPEAT	000024F_001
CMU003061F	CMU000026F	CMU000083F	100.00	245.00	HAPLOTIG	000024F_002
CMU000759F	CMU000023F	CMU000635F	99.99	116.96	HAPLOTIG	000025F_000
CMU002126F	CMU000023F	CMU000002F	100.00	198.00	HAPLOTIG	000025F_001
CMU001258F	CMU000032F	CMU000043F	100.00	149.73	HAPLOTIG	000026F_000
CMU001229F	CMU000033F	CMU000069F	99.76	105.53	HAPLOTIG	000027F_000
CMU001570F	CMU000033F	CMU000327F	100.00	100.15	HAPLOTIG	000027F_001
CMU002150F	CMU000033F	CMU000230F	98.87	115.70	HAPLOTIG	000027F_002
CMU002205F	CMU000033F	CMU000115F	99.98	128.24	HAPLOTIG	000027F_003
CMU001201F	CMU000037F	CMU000019F	100.00	202.76	HAPLOTIG	000028F_000
CMU001496F	CMU000037F	CMU000009F	92.38	117.77	HAPLOTIG	000028F_001
CMU001500F	CMU000037F	CMU000276F	100.00	102.94	HAPLOTIG	000028F_002
CMU001750F	CMU000037F	CMU000007F	99.99	108.73	HAPLOTIG	000028F_003
CMU001855F	CMU000037F	CMU000956F	100.00	108.77	HAPLOTIG	000028F_004
CMU002992F	CMU000037F	CMU001003F	99.98	651.33	REPEAT	000028F_005
CMU002888F	CMU000037F	CMU001003F	88.76	544.05	REPEAT	000028F_006
CMU000514F	CMU000037F	CMU001003F	99.98	621.31	REPEAT	000028F_007
CMU001653F	CMU000028F	CMU000092F	99.99	102.57	HAPLOTIG	000029F_000
CMU002918F	CMU000028F	CMU000061F	99.98	100.31	HAPLOTIG	000029F_001
CMU001140F	CMU000030F	CMU000079F	83.36	186.44	HAPLOTIG	000030F_000
CMU002261F	CMU000030F	CMU000148F	99.98	108.79	HAPLOTIG	000030F_001
CMU002035F	CMU000035F	CMU000934F	86.78	126.82	HAPLOTIG	000031F_000
CMU002107F	CMU000029F	CMU000134F	99.18	111.31	HAPLOTIG	000032F_000
CMU003164F	CMU000029F	CMU000019F	94.82	262.13	REPEAT	000032F_001
CMU002125F	CMU000038F	CMU000149F	100.00	100.89	HAPLOTIG	000033F_000
CMU002290F	CMU000044F	CMU000374F	99.96	107.96	HAPLOTIG	000034F_000
CMU002923F	CMU000044F	CMU000203F	99.99	108.22	HAPLOTIG	000034F_001
CMU001676F	CMU000042F	CMU000081F	100.00	100.17	HAPLOTIG	000035F_000
CMU002664F	CMU000042F	CMU000033F	99.99	145.28	HAPLOTIG	000035F_001
CMU001730F	CMU000039F	CMU000021F	100.00	187.31	HAPLOTIG	000036F_000
CMU000387F	CMU000039F	CMU000340F	99.98	121.26	HAPLOTIG	000036F_001
CMU001240F	CMU000040F	CMU000019F	88.79	95.91	HAPLOTIG	000037F_000
CMU001748F	CMU000040F	CMU000143F	84.64	432.40	REPEAT	000037F_001
CMU001703F	CMU000031F	CMU000019F	100.00	131.29	HAPLOTIG	000038F_000
CMU002339F	CMU000031F	CMU000019F	100.00	145.22	HAPLOTIG	000038F_001
CMU001627F	CMU000041F	CMU000000F	81.21	111.73	HAPLOTIG	000039F_000
CMU002127F	CMU000041F	CMU000073F	99.96	109.87	HAPLOTIG	000039F_001
CMU000707F	CMU000043F	CMU000032F	83.23	119.68	HAPLOTIG	000040F_000
CMU001236F	CMU000043F	CMU000028F	100.00	104.50	HAPLOTIG	000040F_001
CMU001919F	CMU000043F	CMU000216F	100.00	101.97	HAPLOTIG	000040F_002
CMU000696F	CMU000049F	CMU000011F	96.61	102.54	HAPLOTIG	000041F_000
CMU000964F	CMU000049F	CMU000983F	100.00	101.53	HAPLOTIG	000041F_001
CMU000455F	CMU000049F	CMU000085F	99.99	148.56	HAPLOTIG	000041F_002
CMU001638F	CMU000046F	CMU000037F	81.20	116.50	HAPLOTIG	000042F_000
CMU001654F	CMU000046F	CMU000019F	100.00	114.68	HAPLOTIG	000042F_001
CMU001935F	CMU000046F	CMU000059F	96.94	134.23	HAPLOTIG	000042F_002
CMU001546F	CMU000045F	CMU000019F	99.92	105.11	HAPLOTIG	000043F_000
CMU002791F	CMU000054F	CMU000007F	99.96	108.58	HAPLOTIG	000044F_000
CMU001904F	CMU000048F	CMU000061F	98.17	101.01	HAPLOTIG	000045F_000
CMU002478F	CMU000048F	CMU000525F	99.98	102.57	HAPLOTIG	000045F_001
CMU002970F	CMU000050F	CMU000002F	99.91	114.20	HAPLOTIG	000046F_000
CMU001696F	CMU000052F	CMU000006F	99.95	159.68	HAPLOTIG	000051F_000
CMU001755F	CMU000052F	CMU001191F	96.97	101.07	HAPLOTIG	000051F_001
CMU002018F	CMU000055F	CMU000018F	72.14	137.33	HAPLOTIG	000052F_000
CMU002090F	CMU000055F	CMU000012F	71.27	249.29	HAPLOTIG	000052F_001
CMU002473F	CMU000055F	CMU000010F	100.00	158.63	HAPLOTIG	000052F_002
CMU002010F	CMU000060F	CMU000019F	99.99	113.51	HAPLOTIG	000055F_000
CMU002453F	CMU000060F	CMU000398F	90.47	103.48	HAPLOTIG	000055F_001
CMU000849F	CMU000065F	CMU000012F	79.21	438.58	REPEAT	000056F_000
CMU002740F	CMU000065F	CMU002264F	96.33	232.07	HAPLOTIG	000056F_001
CMU003115F	CMU000065F	CMU000014F	72.57	550.40	REPEAT	000056F_002
CMU003174F	CMU000065F	CMU002134F	89.18	164.11	HAPLOTIG	000056F_003
CMU001844F	CMU000053F	CMU000019F	100.00	106.97	HAPLOTIG	000058F_000
CMU001141F	CMU000063F	CMU001877F	85.19	122.15	HAPLOTIG	000059F_000
CMU001732F	CMU000063F	CMU000054F	99.97	104.03	HAPLOTIG	000059F_001
CMU003141F	CMU000062F	CMU000012F	99.94	308.43	REPEAT	000060F_000
CMU000630F	CMU000067F	CMU000014F	71.27	73.96	HAPLOTIG	000061F_000
CMU002903F	CMU000067F	CMU000012F	99.99	121.51	HAPLOTIG	000061F_001
CMU002606F	CMU000064F	CMU000026F	99.99	111.21	HAPLOTIG	000062F_000
CMU002959F	CMU000064F	CMU001379F	97.29	435.13	REPEAT	000062F_001
CMU001996F	CMU000066F	CMU000023F	99.99	132.33	HAPLOTIG	000063F_000
CMU002142F	CMU000066F	CMU000189F	99.99	118.64	HAPLOTIG	000063F_001
CMU003402F	CMU000066F	CMU000587F	86.58	103.99	HAPLOTIG	000063F_002
CMU001976F	CMU000072F	CMU000007F	99.99	162.26	HAPLOTIG	000064F_000
CMU002117F	CMU000074F	CMU000425F	88.07	191.54	HAPLOTIG	000065F_000
CMU001091F	CMU000069F	CMU000092F	99.99	112.69	HAPLOTIG	000066F_000
CMU001146F	CMU000069F	CMU000922F	100.00	128.00	HAPLOTIG	000066F_001
CMU002988F	CMU000069F	CMU000091F	99.93	111.11	HAPLOTIG	000066F_002
CMU003437F	CMU000073F	CMU000927F	99.95	437.40	REPEAT	000067F_000
CMU002540F	CMU000077F	CMU001963F	99.95	115.14	HAPLOTIG	000069F_000
CMU001949F	CMU000075F	CMU000260F	100.00	123.73	HAPLOTIG	000070F_000
CMU002517F	CMU000076F	CMU000054F	99.99	173.08	HAPLOTIG	000071F_000
CMU000084F	CMU000083F	CMU000578F	98.03	638.79	REPEAT	000075F_000
CMU003176F	CMU000083F	CMU000578F	99.66	213.50	HAPLOTIG	000075F_001
CMU001465F	CMU000079F	CMU000244F	82.35	273.02	REPEAT	000076F_000
CMU002731F	CMU000079F	CMU000081F	99.99	1279.77	REPEAT	000076F_001
CMU003066F	CMU000079F	CMU000142F	99.93	416.37	REPEAT	000076F_002
CMU001293F	CMU000082F	CMU000092F	100.00	190.50	HAPLOTIG	000077F_000
CMU001341F	CMU000082F	CMU000682F	98.04	142.13	HAPLOTIG	000077F_001
CMU001950F	CMU000082F	CMU000092F	99.98	105.73	HAPLOTIG	000077F_002
CMU001845F	CMU000082F	CMU000384F	100.00	114.80	HAPLOTIG	000077F_003
CMU002262F	CMU000082F	CMU000061F	100.00	105.08	HAPLOTIG	000077F_004
CMU003257F	CMU000082F	CMU000398F	100.00	102.38	HAPLOTIG	000077F_005
CMU002260F	CMU000071F	CMU000061F	99.99	101.08	HAPLOTIG	000078F_000
CMU002551F	CMU000071F	CMU000127F	100.00	133.78	HAPLOTIG	000078F_001
CMU002324F	CMU000090F	CMU000027F	99.99	107.92	HAPLOTIG	000079F_000
CMU002568F	CMU000090F	CMU000037F	99.97	115.84	HAPLOTIG	000079F_001
CMU002577F	CMU000090F	CMU000019F	97.88	213.85	HAPLOTIG	000079F_002
CMU000828F	CMU000085F	CMU000767F	99.83	118.37	HAPLOTIG	000080F_000
CMU001737F	CMU000085F	CMU000355F	99.61	130.96	HAPLOTIG	000080F_001
CMU001692F	CMU000085F	CMU000048F	99.99	110.19	HAPLOTIG	000080F_002
CMU001398F	CMU000080F	CMU001161F	100.00	133.99	HAPLOTIG	000081F_000
CMU002201F	CMU000080F	CMU000721F	99.99	101.93	HAPLOTIG	000081F_001
CMU003034F	CMU000080F	CMU000201F	87.09	87.09	HAPLOTIG	000081F_002
CMU000435F	CMU000104F	CMU000006F	95.81	98.48	HAPLOTIG	000082F_000
CMU000454F	CMU000093F	CMU001276F	74.79	77.93	HAPLOTIG	000083F_000
CMU001084F	CMU000092F	CMU000095F	75.74	76.33	HAPLOTIG	000085F_000
CMU002043F	CMU000092F	CMU000081F	99.99	100.59	HAPLOTIG	000085F_001
CMU002068F	CMU000092F	CMU000052F	82.11	144.13	HAPLOTIG	000085F_002
CMU001900F	CMU000087F	CMU000983F	100.00	103.27	HAPLOTIG	000086F_000
CMU001848F	CMU000087F	CMU000061F	100.00	139.76	HAPLOTIG	000086F_001
CMU002523F	CMU000087F	CMU000739F	98.28	137.99	HAPLOTIG	000086F_002
CMU000978F	CMU000100F	CMU002094F	99.97	262.60	REPEAT	000088F_000
CMU001814F	CMU000100F	CMU000762F	99.98	101.07	HAPLOTIG	000088F_001
CMU002296F	CMU000102F	CMU000284F	99.89	108.41	HAPLOTIG	000090F_000
CMU002499F	CMU000102F	CMU000081F	100.00	101.99	HAPLOTIG	000090F_001
CMU002279F	CMU000106F	CMU000253F	100.00	179.46	HAPLOTIG	000091F_000
CMU002548F	CMU000106F	CMU001225F	99.95	249.04	HAPLOTIG	000091F_001
CMU002684F	CMU000106F	CMU000002F	100.00	119.68	HAPLOTIG	000091F_002
CMU003420F	CMU000096F	CMU000466F	75.00	288.18	REPEAT	000092F_000
CMU003482F	CMU000096F	CMU000000F	70.08	244.60	HAPLOTIG	000092F_001
CMU003048F	CMU000098F	CMU000965F	99.98	128.76	HAPLOTIG	000093F_000
CMU001532F	CMU000103F	CMU000682F	100.00	117.24	HAPLOTIG	000094F_000
CMU002098F	CMU000103F	CMU000025F	99.99	382.85	REPEAT	000094F_001
CMU002311F	CMU000099F	CMU000012F	100.00	194.67	HAPLOTIG	000096F_000
CMU002745F	CMU000099F	CMU001620F	99.97	174.42	HAPLOTIG	000096F_001
CMU003473F	CMU000099F	CMU000089F	98.83	528.76	REPEAT	000096F_002
CMU003304F	CMU000089F	CMU000486F	93.98	123.08	HAPLOTIG	000098F_000
CMU002695F	CMU000107F	CMU000034F	99.91	177.92	HAPLOTIG	000099F_000
CMU001600F	CMU000109F	CMU000031F	90.97	124.64	HAPLOTIG	000100F_000
CMU002530F	CMU000109F	CMU000956F	99.95	102.68	HAPLOTIG	000100F_001
CMU001302F	CMU000091F	CMU000019F	94.80	107.86	HAPLOTIG	000103F_000
CMU002099F	CMU000091F	CMU001024F	99.97	102.37	HAPLOTIG	000103F_001
CMU001295F	CMU000120F	CMU000006F	100.00	108.21	HAPLOTIG	000104F_000
CMU000175F	CMU000120F	CMU000718F	70.27	87.79	HAPLOTIG	000104F_001
CMU002703F	CMU000120F	CMU000718F	99.97	128.65	HAPLOTIG	000104F_002
CMU001803F	CMU000114F	CMU000014F	99.89	175.21	HAPLOTIG	000106F_000
CMU002332F	CMU000110F	CMU000022F	99.99	144.94	HAPLOTIG	000107F_000
CMU002120F	CMU000121F	CMU000018F	85.11	331.32	REPEAT	000108F_000
CMU002582F	CMU000121F	CMU000014F	99.69	357.03	REPEAT	000108F_001
CMU001975F	CMU000117F	CMU000012F	100.00	102.32	HAPLOTIG	000109F_000
CMU001668F	CMU000108F	CMU000263F	96.66	174.27	HAPLOTIG	000110F_000
CMU002948F	CMU000108F	CMU000164F	99.97	128.41	HAPLOTIG	000110F_001
CMU003560F	CMU000108F	CMU000363F	99.61	104.45	HAPLOTIG	000110F_002
CMU002455F	CMU000125F	CMU000019F	96.53	110.69	HAPLOTIG	000112F_000
CMU002891F	CMU000125F	CMU000398F	99.38	128.98	HAPLOTIG	000112F_001
CMU000592F	CMU000115F	CMU000629F	100.00	106.16	HAPLOTIG	000114F_000
CMU002177F	CMU000115F	CMU000033F	100.00	126.04	HAPLOTIG	000114F_001
CMU002055F	CMU000126F	CMU000012F	99.97	315.45	REPEAT	000117F_000
CMU003099F	CMU000124F	CMU000019F	99.99	104.08	HAPLOTIG	000118F_000
CMU003200F	CMU000129F	CMU000064F	98.91	218.48	HAPLOTIG	000119F_000
CMU002009F	CMU000119F	CMU000014F	76.62	184.73	HAPLOTIG	000120F_000
CMU002563F	CMU000133F	CMU000019F	99.98	103.31	HAPLOTIG	000121F_000
CMU002621F	CMU000133F	CMU000006F	99.98	100.00	HAPLOTIG	000121F_001
CMU001984F	CMU000131F	CMU000006F	99.89	104.43	HAPLOTIG	000122F_000
CMU001450F	CMU000153F	CMU000019F	99.99	106.57	HAPLOTIG	000123F_000
CMU001665F	CMU000139F	CMU000012F	94.60	102.08	HAPLOTIG	000124F_000
CMU002162F	CMU000128F	CMU000029F	99.99	391.48	REPEAT	000125F_000
CMU002735F	CMU000128F	CMU000029F	97.02	305.15	REPEAT	000125F_001
CMU002766F	CMU000128F	CMU000031F	100.00	177.32	HAPLOTIG	000125F_002
CMU003446F	CMU000128F	CMU000019F	100.00	289.83	REPEAT	000125F_003
CMU001431F	CMU000011F	CMU000658F	99.98	145.53	HAPLOTIG	000126F_000
CMU002305F	CMU000011F	CMU000027F	99.98	129.54	HAPLOTIG	000126F_001
CMU001414F	CMU000140F	CMU000822F	99.98	102.44	HAPLOTIG	000128F_000
CMU003007F	CMU000140F	CMU000822F	99.93	184.11	HAPLOTIG	000128F_001
CMU003051F	CMU000140F	CMU000091F	99.98	116.61	HAPLOTIG	000128F_002
CMU000558F	CMU000127F	CMU000626F	89.40	196.20	HAPLOTIG	000129F_000
CMU001769F	CMU000127F	CMU000757F	75.98	143.07	HAPLOTIG	000129F_001
CMU001481F	CMU000127F	CMU000007F	99.98	102.09	HAPLOTIG	000129F_002
CMU002857F	CMU000137F	CMU000061F	99.74	121.20	HAPLOTIG	000130F_000
CMU002215F	CMU000142F	CMU000092F	98.65	99.73	HAPLOTIG	000131F_000
CMU002197F	CMU000134F	CMU001028F	100.00	1012.41	REPEAT	000134F_000
CMU002555F	CMU000134F	CMU000092F	99.97	127.58	HAPLOTIG	000134F_001
CMU002796F	CMU000134F	CMU001442F	77.22	143.31	HAPLOTIG	000134F_002
CMU002633F	CMU000134F	CMU001442F	99.24	246.53	HAPLOTIG	000134F_003
CMU002509F	CMU000134F	CMU000163F	99.73	114.48	HAPLOTIG	000134F_004
CMU002816F	CMU000134F	CMU000589F	99.98	175.88	HAPLOTIG	000134F_005
CMU001263F	CMU000149F	CMU000011F	93.51	96.44	HAPLOTIG	000135F_000
CMU002521F	CMU000149F	CMU000011F	100.00	101.67	HAPLOTIG	000135F_001
CMU000439F	CMU000138F	CMU000019F	80.98	84.07	HAPLOTIG	000136F_000
CMU000846F	CMU000146F	CMU000398F	100.00	123.41	HAPLOTIG	000139F_000
CMU002052F	CMU000130F	CMU000718F	99.99	117.46	HAPLOTIG	000144F_000
CMU001459F	CMU000130F	CMU001451F	99.97	189.60	HAPLOTIG	000144F_001
CMU003003F	CMU000163F	CMU000158F	99.49	253.70	REPEAT	000146F_000
CMU001213F	CMU000159F	CMU000312F	74.98	82.45	HAPLOTIG	000147F_000
CMU001579F	CMU000150F	CMU001289F	98.08	234.36	HAPLOTIG	000149F_000
CMU002773F	CMU000144F	CMU000070F	80.29	185.23	HAPLOTIG	000150F_000
CMU001195F	CMU000156F	CMU001571F	97.58	101.87	HAPLOTIG	000151F_000
CMU001729F	CMU000156F	CMU000161F	100.00	103.83	HAPLOTIG	000151F_001
CMU002644F	CMU000154F	CMU000026F	94.39	146.34	HAPLOTIG	000152F_000
CMU002627F	CMU000143F	CMU000128F	100.00	116.49	HAPLOTIG	000153F_000
CMU003103F	CMU000143F	CMU001377F	99.81	369.17	REPEAT	000153F_001
CMU002764F	CMU000122F	CMU000894F	99.98	230.35	HAPLOTIG	000155F_000
CMU002484F	CMU000122F	CMU000012F	99.93	546.57	REPEAT	000155F_001
CMU002813F	CMU000174F	CMU000189F	99.70	140.28	HAPLOTIG	000157F_000
CMU001671F	CMU000165F	CMU000000F	99.99	155.63	HAPLOTIG	000158F_000
CMU001156F	CMU000162F	CMU000059F	99.98	104.97	HAPLOTIG	000159F_000
CMU001683F	CMU000162F	CMU000025F	99.97	100.85	HAPLOTIG	000159F_001
CMU001740F	CMU000162F	CMU000660F	99.42	99.78	HAPLOTIG	000159F_002
CMU002854F	CMU000181F	CMU000006F	95.68	111.68	HAPLOTIG	000160F_000
CMU002190F	CMU000164F	CMU000029F	99.98	387.02	REPEAT	000161F_000
CMU000990F	CMU000184F	CMU000717F	93.12	108.75	HAPLOTIG	000162F_000
CMU002738F	CMU000184F	CMU000956F	99.96	128.25	HAPLOTIG	000162F_001
CMU002867F	CMU000167F	CMU000108F	99.96	105.63	HAPLOTIG	000164F_000
CMU002755F	CMU000202F	CMU000223F	99.96	99.98	HAPLOTIG	000165F_000
CMU002624F	CMU000202F	CMU000002F	99.87	105.09	HAPLOTIG	000165F_001
CMU003019F	CMU000169F	CMU001905F	100.00	153.01	HAPLOTIG	000166F_000
CMU003100F	CMU000169F	CMU001905F	100.00	162.83	HAPLOTIG	000166F_001
CMU002931F	CMU000166F	CMU000012F	88.93	365.03	REPEAT	000167F_000
CMU000920F	CMU000179F	CMU000287F	97.11	110.84	HAPLOTIG	000168F_000
CMU001930F	CMU000179F	CMU000000F	99.98	108.68	HAPLOTIG	000168F_001
CMU002747F	CMU000161F	CMU000019F	100.00	104.97	HAPLOTIG	000169F_000
CMU002722F	CMU000161F	CMU000449F	99.98	127.20	HAPLOTIG	000169F_001
CMU001437F	CMU000171F	CMU000012F	76.47	199.70	HAPLOTIG	000170F_000
CMU002166F	CMU000182F	CMU000019F	86.61	127.00	HAPLOTIG	000171F_000
CMU002271F	CMU000192F	CMU000143F	99.99	110.04	HAPLOTIG	000172F_000
CMU002669F	CMU000192F	CMU000282F	99.70	133.17	HAPLOTIG	000172F_001
CMU001547F	CMU000189F	CMU001588F	99.98	140.38	HAPLOTIG	000174F_000
CMU002198F	CMU000189F	CMU001160F	100.00	139.99	HAPLOTIG	000174F_001
CMU003206F	CMU000189F	CMU000838F	99.65	355.69	REPEAT	000174F_002
CMU002297F	CMU000173F	CMU000284F	94.10	94.27	HAPLOTIG	000176F_000
