#reassigned_contig	top_hit_contig	second_hit_contig	best_match_coverage	max_match_coverage	reassignment
CMU000514F	CMU000037F	CMU001003F	99.98	621.31	REPEAT
CMU000535F	CMU000479F	CMU000025F	99.26	101.55	HAPLOTIG
CMU000558F	CMU000127F	CMU000626F	89.40	196.20	HAPLOTIG
CMU000573F	CMU000475F	CMU000153F	77.45	83.38	HAPLOTIG
CMU000581F	CMU000527F	CMU000316F	73.59	128.84	HAPLOTIG
CMU000583F	CMU002265F	CMU000361F	99.99	154.01	HAPLOTIG
CMU000591F	CMU001279F	CMU000895F	90.80	142.62	HAPLOTIG
CMU000592F	CMU000115F	CMU000629F	100.00	106.16	HAPLOTIG
CMU000630F	CMU000067F	CMU000014F	71.27	73.96	HAPLOTIG
CMU000631F	CMU002014F	CMU000002F	97.17	140.77	HAPLOTIG
CMU000650F	CMU000288F	CMU000037F	92.32	95.11	HAPLOTIG
CMU000652F	CMU000284F	CMU000087F	72.68	134.91	HAPLOTIG
CMU000696F	CMU000049F	CMU000011F	96.61	102.54	HAPLOTIG
CMU000707F	CMU000043F	CMU000032F	83.23	119.68	HAPLOTIG
CMU000710F	CMU002350F	CMU000065F	99.93	164.05	HAPLOTIG
CMU000713F	CMU000629F	CMU000703F	100.00	116.55	HAPLOTIG
CMU000749F	CMU000349F	CMU000554F	83.87	447.24	REPEAT
CMU000751F	CMU000221F	CMU000012F	83.28	2539.37	REPEAT
CMU000752F	CMU000334F	CMU000019F	81.86	101.99	HAPLOTIG
CMU000759F	CMU000023F	CMU000635F	99.99	116.96	HAPLOTIG
CMU000760F	CMU000895F	CMU000398F	79.12	363.55	REPEAT
CMU000764F	CMU000392F	CMU000002F	97.26	145.64	HAPLOTIG
CMU000774F	CMU001400F	CMU000561F	99.98	148.12	HAPLOTIG
CMU000795F	CMU000711F	CMU000724F	72.04	75.73	HAPLOTIG
CMU000814F	CMU000664F	CMU000427F	98.23	123.27	HAPLOTIG
CMU000815F	CMU001720F	CMU000574F	99.99	167.84	HAPLOTIG
CMU000828F	CMU000085F	CMU000767F	99.83	118.37	HAPLOTIG
CMU000833F	CMU000788F	CMU000019F	86.84	91.11	HAPLOTIG
CMU000846F	CMU000146F	CMU000398F	100.00	123.41	HAPLOTIG
CMU000849F	CMU000065F	CMU000012F	79.21	438.58	REPEAT
CMU000865F	CMU000252F	CMU000006F	99.99	165.37	HAPLOTIG
CMU000867F	CMU000345F	CMU000140F	100.00	236.88	HAPLOTIG
CMU000887F	CMU000677F	CMU000276F	99.98	252.04	REPEAT
CMU000888F	CMU000384F	CMU001805F	88.30	134.01	HAPLOTIG
CMU000889F	CMU000321F	CMU000152F	77.44	108.31	HAPLOTIG
CMU000899F	CMU000021F	CMU000019F	100.00	105.01	HAPLOTIG
CMU000905F	CMU000230F	CMU000249F	96.84	253.78	REPEAT
CMU000915F	CMU000939F	CMU000959F	96.29	108.58	HAPLOTIG
CMU000916F	CMU000363F	CMU000162F	100.00	103.95	HAPLOTIG
CMU000918F	CMU001027F	CMU000134F	97.71	609.97	REPEAT
CMU000920F	CMU000179F	CMU000287F	97.11	110.84	HAPLOTIG
CMU000942F	CMU000273F	CMU000811F	90.44	96.88	HAPLOTIG
CMU000945F	CMU000626F	CMU000420F	73.90	413.86	REPEAT
CMU000964F	CMU000049F	CMU000983F	100.00	101.53	HAPLOTIG
CMU000977F	CMU000267F	CMU000418F	100.00	123.30	HAPLOTIG
CMU000978F	CMU000100F	CMU002094F	99.97	262.60	REPEAT
CMU000986F	CMU001491F	CMU000022F	99.96	555.26	REPEAT
CMU000987F	CMU000877F	CMU001462F	99.98	157.92	HAPLOTIG
CMU000989F	CMU002504F	CMU000298F	100.00	103.68	HAPLOTIG
CMU000990F	CMU000184F	CMU000717F	93.12	108.75	HAPLOTIG
CMU000993F	CMU000420F	CMU000626F	99.12	524.33	REPEAT
CMU000996F	CMU000451F	CMU000528F	100.00	215.15	HAPLOTIG
CMU001015F	CMU000533F	CMU000019F	99.99	230.76	HAPLOTIG
CMU001020F	CMU000856F	CMU000357F	88.89	435.86	REPEAT
CMU001034F	CMU000247F	CMU000115F	99.43	150.79	HAPLOTIG
CMU001036F	CMU000249F	CMU000008F	91.43	567.50	REPEAT
CMU001038F	CMU000443F	CMU000224F	90.90	138.94	HAPLOTIG
CMU001039F	CMU000349F	CMU000548F	93.81	696.44	REPEAT
CMU001042F	CMU000667F	CMU000002F	71.74	184.55	HAPLOTIG
CMU001043F	CMU000250F	CMU000431F	99.98	161.15	HAPLOTIG
CMU001047F	CMU000904F	CMU000246F	100.00	100.66	HAPLOTIG
CMU001051F	CMU000300F	CMU000072F	96.22	105.89	HAPLOTIG
CMU001053F	CMU000008F	CMU000249F	83.35	472.57	REPEAT
CMU001055F	CMU000019F	CMU001320F	99.40	580.16	REPEAT
CMU001057F	CMU000344F	CMU000577F	98.81	109.21	HAPLOTIG
CMU001059F	CMU001142F	CMU000790F	78.31	82.62	HAPLOTIG
CMU001061F	CMU002105F	CMU000177F	99.92	153.92	HAPLOTIG
CMU001067F	CMU000276F	CMU001518F	87.63	88.65	HAPLOTIG
CMU001069F	CMU000019F	CMU001320F	96.19	262.91	REPEAT
CMU001073F	CMU000337F	CMU000143F	96.10	127.88	HAPLOTIG
CMU001075F	CMU000380F	CMU000276F	97.22	110.72	HAPLOTIG
CMU001077F	CMU000414F	CMU000530F	83.90	85.63	HAPLOTIG
CMU001081F	CMU000204F	CMU000092F	78.27	78.76	HAPLOTIG
CMU001084F	CMU000092F	CMU000095F	75.74	76.33	HAPLOTIG
CMU001085F	CMU000950F	CMU001451F	80.96	81.17	HAPLOTIG
CMU001086F	CMU000009F	CMU000012F	73.28	103.13	HAPLOTIG
CMU001091F	CMU000069F	CMU000092F	99.99	112.69	HAPLOTIG
CMU001098F	CMU000272F	CMU000708F	95.83	143.62	HAPLOTIG
CMU001099F	CMU000361F	CMU000015F	100.00	277.82	REPEAT
CMU001106F	CMU000919F	CMU000020F	100.00	104.72	HAPLOTIG
CMU001115F	CMU000850F	CMU001349F	100.00	1215.43	REPEAT
CMU001119F	CMU000217F	CMU000000F	99.71	130.06	HAPLOTIG
CMU001129F	CMU001112F	CMU000068F	82.81	111.77	HAPLOTIG
CMU001134F	CMU000478F	CMU000007F	100.00	116.09	HAPLOTIG
CMU001135F	CMU001973F	CMU000012F	79.29	104.00	HAPLOTIG
CMU001136F	CMU000603F	CMU000085F	71.76	78.20	HAPLOTIG
CMU001140F	CMU000030F	CMU000079F	83.36	186.44	HAPLOTIG
CMU001141F	CMU000063F	CMU001877F	85.19	122.15	HAPLOTIG
CMU001143F	CMU000457F	CMU000002F	86.40	150.94	HAPLOTIG
CMU001146F	CMU000069F	CMU000922F	100.00	128.00	HAPLOTIG
CMU001153F	CMU001076F	CMU000496F	99.99	163.46	HAPLOTIG
CMU001156F	CMU000162F	CMU000059F	99.98	104.97	HAPLOTIG
CMU001170F	CMU000855F	CMU000012F	99.53	189.36	HAPLOTIG
CMU001171F	CMU001161F	CMU000080F	100.00	119.02	HAPLOTIG
CMU001174F	CMU000654F	CMU001249F	90.04	116.27	HAPLOTIG
CMU001175F	CMU000012F	CMU000070F	70.64	175.03	HAPLOTIG
CMU001178F	CMU000008F	CMU000091F	99.99	109.27	HAPLOTIG
CMU001187F	CMU000019F	CMU001320F	96.31	762.82	REPEAT
CMU001192F	CMU001027F	CMU000234F	83.91	305.02	REPEAT
CMU001195F	CMU000156F	CMU001571F	97.58	101.87	HAPLOTIG
CMU001196F	CMU000443F	CMU000019F	99.96	383.10	REPEAT
CMU001201F	CMU000037F	CMU000019F	100.00	202.76	HAPLOTIG
CMU001202F	CMU000617F	CMU000010F	74.77	93.10	HAPLOTIG
CMU001211F	CMU000200F	CMU000075F	100.00	299.78	REPEAT
CMU001213F	CMU000159F	CMU000312F	74.98	82.45	HAPLOTIG
CMU001222F	CMU000338F	CMU000034F	73.11	205.61	HAPLOTIG
CMU001223F	CMU000484F	CMU000007F	99.68	230.13	HAPLOTIG
CMU001224F	CMU001149F	CMU000014F	97.92	215.41	HAPLOTIG
CMU001226F	CMU000005F	CMU000072F	96.01	159.06	HAPLOTIG
CMU001229F	CMU000033F	CMU000069F	99.76	105.53	HAPLOTIG
CMU001233F	CMU000785F	CMU001926F	70.37	71.40	HAPLOTIG
CMU001236F	CMU000043F	CMU000028F	100.00	104.50	HAPLOTIG
CMU001240F	CMU000040F	CMU000019F	88.79	95.91	HAPLOTIG
CMU001244F	CMU000860F	CMU001014F	99.99	114.29	HAPLOTIG
CMU001248F	CMU000012F	CMU000018F	71.95	136.31	HAPLOTIG
CMU001253F	CMU001022F	CMU001897F	99.99	106.16	HAPLOTIG
CMU001255F	CMU001123F	CMU000038F	78.03	80.98	HAPLOTIG
CMU001258F	CMU000032F	CMU000043F	100.00	149.73	HAPLOTIG
CMU001260F	CMU001217F	CMU000009F	76.87	91.94	HAPLOTIG
CMU001262F	CMU000194F	CMU000463F	100.00	118.87	HAPLOTIG
CMU001263F	CMU000149F	CMU000011F	93.51	96.44	HAPLOTIG
CMU001266F	CMU000748F	CMU000626F	97.64	398.41	REPEAT
CMU001270F	CMU000765F	CMU000019F	87.31	175.43	HAPLOTIG
CMU001275F	CMU000252F	CMU000402F	93.29	169.97	HAPLOTIG
CMU001280F	CMU000809F	CMU000302F	99.93	125.59	HAPLOTIG
CMU001293F	CMU000082F	CMU000092F	100.00	190.50	HAPLOTIG
CMU001295F	CMU000120F	CMU000006F	100.00	108.21	HAPLOTIG
CMU001296F	CMU000006F	CMU000025F	100.00	100.84	HAPLOTIG
CMU001302F	CMU000091F	CMU000019F	94.80	107.86	HAPLOTIG
CMU001310F	CMU000566F	CMU000019F	73.02	160.81	HAPLOTIG
CMU001316F	CMU001285F	CMU000014F	71.11	142.20	HAPLOTIG
CMU001328F	CMU001101F	CMU000385F	95.78	156.07	HAPLOTIG
CMU001333F	CMU000012F	CMU001661F	90.89	255.33	REPEAT
CMU001335F	CMU000838F	CMU002783F	72.46	84.49	HAPLOTIG
CMU001336F	CMU001117F	CMU000204F	76.21	77.70	HAPLOTIG
CMU001337F	CMU000237F	CMU000398F	97.17	153.83	HAPLOTIG
CMU001338F	CMU000622F	CMU000019F	87.52	213.02	HAPLOTIG
CMU001341F	CMU000082F	CMU000682F	98.04	142.13	HAPLOTIG
CMU001358F	CMU000327F	CMU000012F	85.57	812.08	REPEAT
CMU001359F	CMU000483F	CMU000014F	100.00	129.33	HAPLOTIG
CMU001360F	CMU000491F	CMU000149F	99.28	127.03	HAPLOTIG
CMU001362F	CMU000012F	CMU000264F	71.12	149.21	HAPLOTIG
CMU001364F	CMU000436F	CMU000056F	95.78	121.67	HAPLOTIG
CMU001370F	CMU001060F	CMU000702F	99.97	118.26	HAPLOTIG
CMU001373F	CMU002143F	CMU001063F	92.88	205.42	HAPLOTIG
CMU001374F	CMU000214F	CMU000019F	99.85	184.64	HAPLOTIG
CMU001375F	CMU001111F	CMU000913F	99.47	257.14	REPEAT
CMU001378F	CMU000349F	CMU000046F	98.40	241.87	HAPLOTIG
CMU001380F	CMU000345F	CMU000140F	99.99	100.32	HAPLOTIG
CMU001381F	CMU000651F	CMU000784F	74.00	74.21	HAPLOTIG
CMU001389F	CMU000328F	CMU001032F	100.00	125.71	HAPLOTIG
CMU001391F	CMU000522F	CMU000027F	98.33	172.26	HAPLOTIG
CMU001392F	CMU000217F	CMU000019F	99.85	117.11	HAPLOTIG
CMU001394F	CMU000006F	CMU000381F	98.86	341.02	REPEAT
CMU001395F	CMU000249F	CMU000008F	80.71	460.14	REPEAT
CMU001397F	CMU000417F	CMU001675F	79.25	338.01	REPEAT
CMU001398F	CMU000080F	CMU001161F	100.00	133.99	HAPLOTIG
CMU001403F	CMU000700F	CMU000018F	97.85	130.34	HAPLOTIG
CMU001407F	CMU000284F	CMU000813F	76.32	79.17	HAPLOTIG
CMU001409F	CMU001272F	CMU000091F	87.30	92.39	HAPLOTIG
CMU001412F	CMU000379F	CMU000019F	75.68	122.26	HAPLOTIG
CMU001414F	CMU000140F	CMU000822F	99.98	102.44	HAPLOTIG
CMU001419F	CMU000021F	CMU001346F	75.41	136.37	HAPLOTIG
CMU001420F	CMU000740F	CMU003353F	99.68	140.67	HAPLOTIG
CMU001422F	CMU000005F	CMU002694F	95.50	99.21	HAPLOTIG
CMU001423F	CMU001289F	CMU000124F	100.00	209.85	HAPLOTIG
CMU001429F	CMU000417F	CMU001675F	99.99	433.14	REPEAT
CMU001431F	CMU000011F	CMU000658F	99.98	145.53	HAPLOTIG
CMU001432F	CMU001401F	CMU000019F	81.31	142.74	HAPLOTIG
CMU001436F	CMU000818F	CMU000012F	97.76	117.63	HAPLOTIG
CMU001437F	CMU000171F	CMU000012F	76.47	199.70	HAPLOTIG
CMU001447F	CMU001017F	CMU001287F	91.81	103.38	HAPLOTIG
CMU001448F	CMU000339F	CMU000091F	80.81	88.38	HAPLOTIG
CMU001450F	CMU000153F	CMU000019F	99.99	106.57	HAPLOTIG
CMU001453F	CMU001842F	CMU000014F	94.54	212.80	HAPLOTIG
CMU001457F	CMU000217F	CMU000000F	91.96	135.95	HAPLOTIG
CMU001459F	CMU000130F	CMU001451F	99.97	189.60	HAPLOTIG
CMU001460F	CMU000571F	CMU000073F	100.00	114.99	HAPLOTIG
CMU001463F	CMU000952F	CMU001401F	97.92	102.46	HAPLOTIG
CMU001465F	CMU000079F	CMU000244F	82.35	273.02	REPEAT
CMU001468F	CMU002106F	CMU000852F	100.00	151.42	HAPLOTIG
CMU001475F	CMU000012F	CMU000096F	72.56	462.57	REPEAT
CMU001476F	CMU000014F	CMU000012F	73.26	155.59	HAPLOTIG
CMU001477F	CMU000017F	CMU000000F	100.00	169.81	HAPLOTIG
CMU001479F	CMU000827F	CMU000421F	95.11	453.39	REPEAT
CMU001481F	CMU000127F	CMU000007F	99.98	102.09	HAPLOTIG
CMU001484F	CMU001312F	CMU000019F	99.57	107.22	HAPLOTIG
CMU001488F	CMU000494F	CMU000014F	77.41	231.66	HAPLOTIG
CMU001489F	CMU000279F	CMU000629F	99.20	101.30	HAPLOTIG
CMU001496F	CMU000037F	CMU000009F	92.38	117.77	HAPLOTIG
CMU001498F	CMU000586F	CMU000015F	70.55	175.32	HAPLOTIG
CMU001499F	CMU000340F	CMU000002F	83.24	173.52	HAPLOTIG
CMU001500F	CMU000037F	CMU000276F	100.00	102.94	HAPLOTIG
CMU001501F	CMU000766F	CMU000014F	83.78	166.92	HAPLOTIG
CMU001502F	CMU000797F	CMU000064F	82.82	273.73	REPEAT
CMU001506F	CMU000341F	CMU000092F	100.00	103.20	HAPLOTIG
CMU001507F	CMU000457F	CMU000012F	90.65	100.48	HAPLOTIG
CMU001508F	CMU000332F	CMU000019F	86.88	97.76	HAPLOTIG
CMU001516F	CMU000012F	CMU000034F	78.89	271.10	REPEAT
CMU001519F	CMU000420F	CMU000019F	99.94	411.61	REPEAT
CMU001521F	CMU000431F	CMU000000F	99.94	190.91	HAPLOTIG
CMU001525F	CMU000431F	CMU000019F	99.97	109.61	HAPLOTIG
CMU001528F	CMU001154F	CMU000019F	87.54	95.92	HAPLOTIG
CMU001530F	CMU000836F	CMU000012F	92.78	258.23	REPEAT
CMU001531F	CMU000353F	CMU000092F	100.00	104.43	HAPLOTIG
CMU001532F	CMU000103F	CMU000682F	100.00	117.24	HAPLOTIG
CMU001534F	CMU000276F	CMU000091F	91.34	103.78	HAPLOTIG
CMU001536F	CMU000325F	CMU001010F	99.98	117.75	HAPLOTIG
CMU001537F	CMU000301F	CMU000466F	99.96	314.88	REPEAT
CMU001538F	CMU001221F	CMU000104F	96.68	106.81	HAPLOTIG
CMU001539F	CMU000483F	CMU000012F	99.98	136.56	HAPLOTIG
CMU001544F	CMU001399F	CMU000009F	89.63	3372.06	REPEAT
CMU001546F	CMU000045F	CMU000019F	99.92	105.11	HAPLOTIG
CMU001547F	CMU000189F	CMU001588F	99.98	140.38	HAPLOTIG
CMU001548F	CMU000382F	CMU000049F	99.81	107.47	HAPLOTIG
CMU001557F	CMU000012F	CMU001642F	87.19	148.86	HAPLOTIG
CMU001559F	CMU000009F	CMU000188F	99.86	272.66	REPEAT
CMU001560F	CMU000330F	CMU000006F	100.00	108.96	HAPLOTIG
CMU001565F	CMU002020F	CMU003002F	72.23	120.14	HAPLOTIG
CMU001566F	CMU000674F	CMU000096F	94.05	176.94	HAPLOTIG
CMU001567F	CMU000950F	CMU000019F	73.14	77.30	HAPLOTIG
CMU001568F	CMU000332F	CMU001065F	99.00	102.24	HAPLOTIG
CMU001570F	CMU000033F	CMU000327F	100.00	100.15	HAPLOTIG
CMU001574F	CMU001206F	CMU000792F	93.56	135.56	HAPLOTIG
CMU001576F	CMU000554F	CMU000349F	99.97	365.55	REPEAT
CMU001579F	CMU000150F	CMU001289F	98.08	234.36	HAPLOTIG
CMU001581F	CMU000559F	CMU000983F	100.00	127.03	HAPLOTIG
CMU001584F	CMU000287F	CMU001186F	94.26	99.87	HAPLOTIG
CMU001586F	CMU000524F	CMU000061F	99.38	144.26	HAPLOTIG
CMU001590F	CMU000265F	CMU000724F	71.83	75.61	HAPLOTIG
CMU001592F	CMU000001F	CMU000037F	99.99	136.97	HAPLOTIG
CMU001595F	CMU000204F	CMU000398F	100.00	110.04	HAPLOTIG
CMU001598F	CMU000641F	CMU000092F	99.99	104.15	HAPLOTIG
CMU001599F	CMU000353F	CMU000026F	99.42	123.00	HAPLOTIG
CMU001600F	CMU000109F	CMU000031F	90.97	124.64	HAPLOTIG
CMU001601F	CMU000001F	CMU000019F	85.68	143.43	HAPLOTIG
CMU001602F	CMU000027F	CMU000412F	96.72	129.31	HAPLOTIG
CMU001603F	CMU000416F	CMU000019F	84.57	85.88	HAPLOTIG
CMU001605F	CMU000884F	CMU000199F	99.84	208.65	HAPLOTIG
CMU001609F	CMU000328F	CMU000767F	96.04	209.40	HAPLOTIG
CMU001611F	CMU001558F	CMU000215F	93.78	94.24	HAPLOTIG
CMU001615F	CMU000005F	CMU000216F	89.33	91.24	HAPLOTIG
CMU001616F	CMU000924F	CMU000012F	73.45	142.70	HAPLOTIG
CMU001627F	CMU000041F	CMU000000F	81.21	111.73	HAPLOTIG
CMU001628F	CMU001167F	CMU000009F	97.17	120.25	HAPLOTIG
CMU001630F	CMU001271F	CMU000320F	92.44	92.49	HAPLOTIG
CMU001631F	CMU001622F	CMU001012F	84.15	394.74	REPEAT
CMU001632F	CMU000848F	CMU000831F	94.36	115.66	HAPLOTIG
CMU001635F	CMU000827F	CMU000019F	100.00	862.83	REPEAT
CMU001636F	CMU001393F	CMU000065F	99.96	142.03	HAPLOTIG
CMU001638F	CMU000046F	CMU000037F	81.20	116.50	HAPLOTIG
CMU001640F	CMU000827F	CMU000019F	99.98	885.87	REPEAT
CMU001646F	CMU001147F	CMU000012F	85.79	547.85	REPEAT
CMU001647F	CMU000313F	CMU000104F	97.34	118.51	HAPLOTIG
CMU001648F	CMU000004F	CMU000052F	100.00	100.14	HAPLOTIG
CMU001649F	CMU000286F	CMU000000F	100.00	105.19	HAPLOTIG
CMU001651F	CMU000298F	CMU000014F	95.55	120.18	HAPLOTIG
CMU001652F	CMU000362F	CMU000091F	99.53	112.80	HAPLOTIG
CMU001653F	CMU000028F	CMU000092F	99.99	102.57	HAPLOTIG
CMU001654F	CMU000046F	CMU000019F	100.00	114.68	HAPLOTIG
CMU001656F	CMU000644F	CMU000075F	100.00	107.76	HAPLOTIG
CMU001658F	CMU000569F	CMU000092F	100.00	142.25	HAPLOTIG
CMU001659F	CMU000301F	CMU000019F	99.98	435.76	REPEAT
CMU001662F	CMU001596F	CMU000019F	79.84	119.71	HAPLOTIG
CMU001663F	CMU000225F	CMU000019F	99.98	209.02	HAPLOTIG
CMU001665F	CMU000139F	CMU000012F	94.60	102.08	HAPLOTIG
CMU001668F	CMU000108F	CMU000263F	96.66	174.27	HAPLOTIG
CMU001670F	CMU000758F	CMU000019F	99.98	102.47	HAPLOTIG
CMU001671F	CMU000165F	CMU000000F	99.99	155.63	HAPLOTIG
CMU001674F	CMU001689F	CMU000149F	98.16	169.02	HAPLOTIG
CMU001676F	CMU000042F	CMU000081F	100.00	100.17	HAPLOTIG
CMU001677F	CMU000350F	CMU000012F	99.78	127.10	HAPLOTIG
CMU001679F	CMU000014F	CMU000467F	87.90	325.02	REPEAT
CMU001682F	CMU001203F	CMU000076F	99.99	122.49	HAPLOTIG
CMU001683F	CMU000162F	CMU000025F	99.97	100.85	HAPLOTIG
CMU001687F	CMU001639F	CMU000012F	86.93	99.08	HAPLOTIG
CMU001691F	CMU001060F	CMU000034F	99.99	212.10	HAPLOTIG
CMU001692F	CMU000085F	CMU000048F	99.99	110.19	HAPLOTIG
CMU001693F	CMU001063F	CMU000019F	93.62	119.88	HAPLOTIG
CMU001694F	CMU000012F	CMU000030F	79.85	169.82	HAPLOTIG
CMU001696F	CMU000052F	CMU000006F	99.95	159.68	HAPLOTIG
CMU001697F	CMU000622F	CMU001596F	100.00	254.49	REPEAT
CMU001700F	CMU000396F	CMU000378F	99.99	1057.64	REPEAT
CMU001703F	CMU000031F	CMU000019F	100.00	131.29	HAPLOTIG
CMU001704F	CMU000200F	CMU000273F	100.00	140.06	HAPLOTIG
CMU001706F	CMU002239F	CMU000074F	76.12	272.74	REPEAT
CMU001708F	CMU001578F	CMU000012F	83.76	194.69	HAPLOTIG
CMU001712F	CMU000748F	CMU000626F	93.05	342.52	REPEAT
CMU001714F	CMU000639F	CMU000072F	100.00	154.50	HAPLOTIG
CMU001715F	CMU000376F	CMU000169F	94.71	165.24	HAPLOTIG
CMU001717F	CMU000328F	CMU000911F	99.99	106.35	HAPLOTIG
CMU001718F	CMU000431F	CMU000019F	100.00	233.29	HAPLOTIG
CMU001719F	CMU000281F	CMU000027F	99.99	106.90	HAPLOTIG
CMU001725F	CMU000008F	CMU000444F	95.85	138.85	HAPLOTIG
CMU001729F	CMU000156F	CMU000161F	100.00	103.83	HAPLOTIG
CMU001730F	CMU000039F	CMU000021F	100.00	187.31	HAPLOTIG
CMU001731F	CMU000331F	CMU000014F	84.93	100.17	HAPLOTIG
CMU001732F	CMU000063F	CMU000054F	99.97	104.03	HAPLOTIG
CMU001734F	CMU000214F	CMU000019F	99.99	117.65	HAPLOTIG
CMU001736F	CMU000861F	CMU000012F	88.35	230.89	HAPLOTIG
CMU001737F	CMU000085F	CMU000355F	99.61	130.96	HAPLOTIG
CMU001740F	CMU000162F	CMU000660F	99.42	99.78	HAPLOTIG
CMU001743F	CMU000791F	CMU000314F	99.95	106.14	HAPLOTIG
CMU001744F	CMU001010F	CMU000325F	100.00	143.91	HAPLOTIG
CMU001748F	CMU000040F	CMU000143F	84.64	432.40	REPEAT
CMU001749F	CMU000531F	CMU000312F	99.99	104.59	HAPLOTIG
CMU001750F	CMU000037F	CMU000007F	99.99	108.73	HAPLOTIG
CMU001751F	CMU000895F	CMU001088F	73.68	458.99	REPEAT
CMU001755F	CMU000052F	CMU001191F	96.97	101.07	HAPLOTIG
CMU001757F	CMU000761F	CMU001012F	91.04	188.34	HAPLOTIG
CMU001761F	CMU001619F	CMU000547F	99.99	249.89	HAPLOTIG
CMU001764F	CMU000279F	CMU000143F	96.03	122.36	HAPLOTIG
CMU001766F	CMU000307F	CMU000091F	100.00	104.13	HAPLOTIG
CMU001769F	CMU000127F	CMU000757F	75.98	143.07	HAPLOTIG
CMU001771F	CMU001241F	CMU000012F	99.92	216.99	HAPLOTIG
CMU001774F	CMU001022F	CMU002154F	99.96	546.55	REPEAT
CMU001776F	CMU000005F	CMU000091F	99.98	114.34	HAPLOTIG
CMU001777F	CMU001689F	CMU000091F	94.64	449.85	REPEAT
CMU001779F	CMU001145F	CMU001217F	99.80	144.23	HAPLOTIG
CMU001782F	CMU000382F	CMU001446F	99.99	124.11	HAPLOTIG
CMU001784F	CMU000568F	CMU000215F	100.00	100.00	HAPLOTIG
CMU001787F	CMU001180F	CMU000665F	99.85	108.48	HAPLOTIG
CMU001791F	CMU000999F	CMU000070F	85.84	279.13	REPEAT
CMU001793F	CMU001471F	CMU000146F	100.00	100.20	HAPLOTIG
CMU001795F	CMU001198F	CMU000024F	99.98	229.86	HAPLOTIG
CMU001797F	CMU000374F	CMU000019F	99.99	152.95	HAPLOTIG
CMU001800F	CMU000264F	CMU000981F	99.97	249.66	HAPLOTIG
CMU001801F	CMU000682F	CMU000104F	100.00	106.64	HAPLOTIG
CMU001802F	CMU001107F	CMU000019F	91.04	151.59	HAPLOTIG
CMU001803F	CMU000114F	CMU000014F	99.89	175.21	HAPLOTIG
CMU001806F	CMU000817F	CMU001002F	94.79	102.82	HAPLOTIG
CMU001808F	CMU000261F	CMU002365F	92.36	103.23	HAPLOTIG
CMU001809F	CMU001561F	CMU000021F	99.98	106.50	HAPLOTIG
CMU001810F	CMU000299F	CMU000598F	96.91	112.37	HAPLOTIG
CMU001812F	CMU001451F	CMU000130F	99.99	127.41	HAPLOTIG
CMU001814F	CMU000100F	CMU000762F	99.98	101.07	HAPLOTIG
CMU001815F	CMU000884F	CMU000199F	99.99	1056.15	REPEAT
CMU001816F	CMU001169F	CMU000055F	79.77	119.23	HAPLOTIG
CMU001818F	CMU001276F	CMU000021F	100.00	103.01	HAPLOTIG
CMU001819F	CMU000021F	CMU000002F	95.10	99.64	HAPLOTIG
CMU001822F	CMU000203F	CMU000029F	100.00	100.70	HAPLOTIG
CMU001823F	CMU000348F	CMU001060F	100.00	124.35	HAPLOTIG
CMU001824F	CMU000356F	CMU000708F	98.76	443.89	REPEAT
