#136 total breaks in 117 contigs
#orig_contig	fragment	break_start	break_end	fragment_len
CMU000138F	CMU000138F:::fragment_3	547299	1992730	1445431
CMU000142F	CMU000142F:::fragment_1	0	1182151	1182151
CMU000142F	CMU000142F:::fragment_2:::debris	1182151	1187151	5000
CMU000142F	CMU000142F:::fragment_3	1187151	2082897	895746
CMU000145F	CMU000145F:::fragment_1	0	474242	474242
CMU000145F	CMU000145F:::fragment_2:::debris	474242	486242	12000
CMU000145F	CMU000145F:::fragment_3	486242	738242	252000
CMU000145F	CMU000145F:::fragment_4:::debris	738242	772242	34000
CMU000145F	CMU000145F:::fragment_5	772242	1955006	1182764
CMU000146F	CMU000146F:::fragment_1	0	1443890	1443890
CMU000146F	CMU000146F:::fragment_2:::debris	1443890	1448890	5000
CMU000146F	CMU000146F:::fragment_3	1448890	1969411	520521
CMU000174F	CMU000174F:::fragment_1	0	204899	204899
CMU000174F	CMU000174F:::fragment_2:::debris	204899	209899	5000
CMU000174F	CMU000174F:::fragment_3	209899	606899	397000
CMU000174F	CMU000174F:::fragment_4:::debris	606899	611899	5000
CMU000174F	CMU000174F:::fragment_5	611899	1973441	1361542
CMU000177F	CMU000177F:::fragment_1	0	1489912	1489912
CMU000177F	CMU000177F:::fragment_2:::debris	1489912	1491912	2000
CMU000177F	CMU000177F:::fragment_3	1491912	1844609	352697
CMU000180F	CMU000180F:::fragment_1	0	865764	865764
CMU000180F	CMU000180F:::fragment_2:::debris	865764	867764	2000
CMU000180F	CMU000180F:::fragment_3	867764	1648909	781145
CMU000188F	CMU000188F:::fragment_1	0	990466	990466
CMU000188F	CMU000188F:::fragment_2:::debris	990466	992466	2000
CMU000188F	CMU000188F:::fragment_3	992466	1322466	330000
CMU000188F	CMU000188F:::fragment_4:::debris	1322466	1332466	10000
CMU000188F	CMU000188F:::fragment_5	1332466	1748149	415683
CMU000191F	CMU000191F:::fragment_1	0	245190	245190
CMU000191F	CMU000191F:::fragment_2:::debris	245190	270190	25000
CMU000191F	CMU000191F:::fragment_3	270190	1688944	1418754
CMU000204F	CMU000204F:::fragment_1	0	155813	155813
CMU000204F	CMU000204F:::fragment_2:::debris	155813	175813	20000
CMU000204F	CMU000204F:::fragment_3	175813	583190	407377
CMU000204F	CMU000204F:::fragment_4:::debris	583190	599190	16000
CMU000204F	CMU000204F:::fragment_5	599190	1790775	1191585
CMU000226F	CMU000226F:::fragment_1	0	1229100	1229100
CMU000226F	CMU000226F:::fragment_2:::debris	1229100	1231100	2000
CMU000226F	CMU000226F:::fragment_3	1231100	1600308	369208
CMU000229F	CMU000229F:::fragment_1	0	670610	670610
CMU000229F	CMU000229F:::fragment_2:::debris	670610	671610	1000
CMU000229F	CMU000229F:::fragment_3	671610	1540111	868501
CMU000232F	CMU000232F:::fragment_1	0	909993	909993
CMU000232F	CMU000232F:::fragment_2:::debris	909993	930993	21000
CMU000232F	CMU000232F:::fragment_3	930993	1601658	670665
CMU000237F	CMU000237F:::fragment_1	0	205754	205754
CMU000237F	CMU000237F:::fragment_2:::debris	205754	210754	5000
CMU000237F	CMU000237F:::fragment_3	210754	1773600	1562846
CMU000242F	CMU000242F:::fragment_1	0	869521	869521
CMU000242F	CMU000242F:::fragment_2:::debris	869521	874521	5000
CMU000242F	CMU000242F:::fragment_3	874521	1536025	661504
CMU000243F	CMU000243F:::fragment_1	0	267655	267655
CMU000243F	CMU000243F:::fragment_2:::debris	267655	269655	2000
CMU000243F	CMU000243F:::fragment_3	269655	1662225	1392570
CMU000246F	CMU000246F:::fragment_1	0	739967	739967
CMU000246F	CMU000246F:::fragment_2:::debris	739967	744967	5000
CMU000246F	CMU000246F:::fragment_3	744967	1529777	784810
CMU000248F	CMU000248F:::fragment_1	0	342481	342481
CMU000248F	CMU000248F:::fragment_2:::debris	342481	352481	10000
CMU000248F	CMU000248F:::fragment_3	352481	1725481	1373000
CMU000267F	CMU000267F:::fragment_1	0	109855	109855
CMU000267F	CMU000267F:::fragment_2:::debris	109855	114855	5000
CMU000267F	CMU000267F:::fragment_3	114855	409855	295000
CMU000267F	CMU000267F:::fragment_4:::debris	409855	414855	5000
CMU000267F	CMU000267F:::fragment_5	414855	796959	382104
CMU000267F	CMU000267F:::fragment_6:::debris	796959	798959	2000
CMU000267F	CMU000267F:::fragment_7	798959	1724764	925805
CMU000272F	CMU000272F:::fragment_1	0	214716	214716
CMU000272F	CMU000272F:::fragment_2:::debris	214716	216716	2000
CMU000272F	CMU000272F:::fragment_3	216716	1201205	984489
CMU000276F	CMU000276F:::fragment_1	0	1178771	1178771
CMU000276F	CMU000276F:::fragment_2:::debris	1178771	1180771	2000
CMU000276F	CMU000276F:::fragment_3	1180771	1536164	355393
CMU000287F	CMU000287F:::fragment_1	0	418287	418287
CMU000287F	CMU000287F:::fragment_2:::debris	418287	423287	5000
CMU000287F	CMU000287F:::fragment_3	423287	1335751	912464
CMU000287F	CMU000287F:::fragment_4:::debris	1335751	1340751	5000
CMU000287F	CMU000287F:::fragment_5	1340751	1543751	203000
CMU000299F	CMU000299F:::fragment_1	0	360722	360722
CMU000299F	CMU000299F:::fragment_2:::debris	360722	362722	2000
CMU000299F	CMU000299F:::fragment_3	362722	1485846	1123124
CMU000303F	CMU000303F:::fragment_1	0	1037804	1037804
CMU000303F	CMU000303F:::fragment_2:::debris	1037804	1042804	5000
CMU000303F	CMU000303F:::fragment_3	1042804	1521930	479126
CMU000311F	CMU000311F:::fragment_1	0	321143	321143
CMU000311F	CMU000311F:::fragment_2:::debris	321143	322143	1000
CMU000311F	CMU000311F:::fragment_3	322143	1354704	1032561
CMU000313F	CMU000313F:::fragment_1	0	771295	771295
CMU000313F	CMU000313F:::fragment_2:::debris	771295	773295	2000
CMU000313F	CMU000313F:::fragment_3	773295	1359439	586144
CMU000334F	CMU000334F:::fragment_1	0	903721	903721
CMU000334F	CMU000334F:::fragment_2:::debris	903721	905721	2000
CMU000334F	CMU000334F:::fragment_3	905721	1359609	453888
CMU000336F	CMU000336F:::fragment_1	0	427166	427166
CMU000336F	CMU000336F:::fragment_2:::debris	427166	429166	2000
CMU000336F	CMU000336F:::fragment_3	429166	1262268	833102
CMU000336F	CMU000336F:::fragment_4:::debris	1262268	1263268	1000
CMU000336F	CMU000336F:::fragment_5	1263268	1351869	88601
CMU000338F	CMU000338F:::fragment_1	0	271647	271647
CMU000338F	CMU000338F:::fragment_2:::debris	271647	273647	2000
CMU000338F	CMU000338F:::fragment_3	273647	608200	334553
CMU000338F	CMU000338F:::fragment_4:::debris	608200	610200	2000
CMU000338F	CMU000338F:::fragment_5	610200	1371475	761275
CMU000344F	CMU000344F:::fragment_1	0	252185	252185
CMU000344F	CMU000344F:::fragment_2:::debris	252185	257185	5000
CMU000344F	CMU000344F:::fragment_3	257185	1478184	1220999
CMU000376F	CMU000376F:::fragment_1	0	544394	544394
CMU000376F	CMU000376F:::fragment_2:::debris	544394	546394	2000
CMU000376F	CMU000376F:::fragment_3	546394	1357397	811003
CMU000384F	CMU000384F:::fragment_1	0	451204	451204
CMU000384F	CMU000384F:::fragment_2:::debris	451204	461204	10000
CMU000384F	CMU000384F:::fragment_3	461204	1446623	985419
CMU000395F	CMU000395F:::fragment_1	0	522608	522608
CMU000395F	CMU000395F:::fragment_2:::debris	522608	523608	1000
CMU000395F	CMU000395F:::fragment_3	523608	1272862	749254
CMU000399F	CMU000399F:::fragment_1	0	673097	673097
CMU000399F	CMU000399F:::fragment_2:::debris	673097	675097	2000
CMU000399F	CMU000399F:::fragment_3	675097	1255571	580474
CMU000422F	CMU000422F:::fragment_1	0	539890	539890
CMU000422F	CMU000422F:::fragment_2:::debris	539890	541890	2000
CMU000422F	CMU000422F:::fragment_3	541890	1183700	641810
CMU000457F	CMU000457F:::fragment_1	0	340550	340550
CMU000457F	CMU000457F:::fragment_2:::debris	340550	341550	1000
CMU000457F	CMU000457F:::fragment_3	341550	1421534	1079984
CMU000515F	CMU000515F:::fragment_1	0	559062	559062
CMU000515F	CMU000515F:::fragment_2:::debris	559062	634062	75000
CMU000515F	CMU000515F:::fragment_3	634062	1150508	516446
CMU000517F	CMU000517F:::fragment_1	0	953422	953422
CMU000517F	CMU000517F:::fragment_2:::debris	953422	963422	10000
CMU000517F	CMU000517F:::fragment_3	963422	1172482	209060
CMU000554F	CMU000554F:::fragment_1	0	914895	914895
CMU000554F	CMU000554F:::fragment_2:::debris	914895	916895	2000
CMU000554F	CMU000554F:::fragment_3	916895	1071675	154780
CMU000562F	CMU000562F:::fragment_1	0	782806	782806
CMU000562F	CMU000562F:::fragment_2:::debris	782806	792806	10000
CMU000562F	CMU000562F:::fragment_3	792806	980978	188172
CMU000599F	CMU000599F:::fragment_1	0	1000912	1000912
CMU000599F	CMU000599F:::fragment_2:::debris	1000912	1010912	10000
CMU000599F	CMU000599F:::fragment_3	1010912	1036378	25466
CMU000606F	CMU000606F:::fragment_1	0	160529	160529
CMU000606F	CMU000606F:::fragment_2:::debris	160529	161529	1000
CMU000606F	CMU000606F:::fragment_3	161529	942938	781409
CMU000616F	CMU000616F:::fragment_1	0	249536	249536
CMU000616F	CMU000616F:::fragment_2:::debris	249536	259536	10000
CMU000616F	CMU000616F:::fragment_3	259536	913355	653819
CMU000620F	CMU000620F:::fragment_1	0	381866	381866
CMU000620F	CMU000620F:::fragment_2:::debris	381866	393866	12000
CMU000620F	CMU000620F:::fragment_3	393866	1018981	625115
CMU000627F	CMU000627F:::fragment_1	0	659309	659309
CMU000627F	CMU000627F:::fragment_2:::debris	659309	664309	5000
CMU000627F	CMU000627F:::fragment_3	664309	820397	156088
CMU000639F	CMU000639F:::fragment_1	0	646088	646088
CMU000639F	CMU000639F:::fragment_2:::debris	646088	816088	170000
CMU000639F	CMU000639F:::fragment_3	816088	1047270	231182
CMU000658F	CMU000658F:::fragment_1	0	75452	75452
CMU000658F	CMU000658F:::fragment_2:::debris	75452	76452	1000
CMU000658F	CMU000658F:::fragment_3	76452	886155	809703
CMU000664F	CMU000664F:::fragment_1	0	225764	225764
CMU000664F	CMU000664F:::fragment_2:::debris	225764	226764	1000
CMU000664F	CMU000664F:::fragment_3	226764	875384	648620
CMU000693F	CMU000693F:::fragment_1	0	348800	348800
CMU000693F	CMU000693F:::fragment_2:::debris	348800	353800	5000
CMU000693F	CMU000693F:::fragment_3	353800	873422	519622
CMU000719F	CMU000719F:::fragment_1	0	202574	202574
CMU000719F	CMU000719F:::fragment_2:::debris	202574	203574	1000
CMU000719F	CMU000719F:::fragment_3	203574	867474	663900
CMU000721F	CMU000721F:::fragment_1	0	638980	638980
CMU000721F	CMU000721F:::fragment_2:::debris	638980	648980	10000
CMU000721F	CMU000721F:::fragment_3	648980	857932	208952
CMU000728F	CMU000728F:::fragment_1	0	465667	465667
CMU000728F	CMU000728F:::fragment_2:::debris	465667	466667	1000
CMU000728F	CMU000728F:::fragment_3	466667	769954	303287
CMU000748F	CMU000748F:::fragment_1	0	563130	563130
CMU000748F	CMU000748F:::fragment_2:::debris	563130	564130	1000
CMU000748F	CMU000748F:::fragment_3	564130	972157	408027
CMU000767F	CMU000767F:::fragment_1	0	165699	165699
CMU000767F	CMU000767F:::fragment_2:::debris	165699	166699	1000
CMU000767F	CMU000767F:::fragment_3	166699	752006	585307
CMU000780F	CMU000780F:::fragment_1	0	292355	292355
CMU000780F	CMU000780F:::fragment_2:::debris	292355	294355	2000
CMU000780F	CMU000780F:::fragment_3	294355	747882	453527
CMU000830F	CMU000830F:::fragment_1	0	431877	431877
CMU000830F	CMU000830F:::fragment_2:::debris	431877	433877	2000
CMU000830F	CMU000830F:::fragment_3	433877	717805	283928
CMU000841F	CMU000841F:::fragment_1	0	507636	507636
CMU000841F	CMU000841F:::fragment_2:::debris	507636	517636	10000
CMU000841F	CMU000841F:::fragment_3	517636	696715	179079
CMU000897F	CMU000897F:::fragment_1	0	529226	529226
CMU000897F	CMU000897F:::fragment_2:::debris	529226	530226	1000
CMU000897F	CMU000897F:::fragment_3	530226	659158	128932
CMU000907F	CMU000907F:::fragment_1	0	328844	328844
CMU000907F	CMU000907F:::fragment_2:::debris	328844	329844	1000
CMU000907F	CMU000907F:::fragment_3	329844	644995	315151
CMU000921F	CMU000921F:::fragment_1	0	258456	258456
CMU000921F	CMU000921F:::fragment_2:::debris	258456	259456	1000
CMU000921F	CMU000921F:::fragment_3	259456	621663	362207
CMU001004F	CMU001004F:::fragment_1	0	383381	383381
CMU001004F	CMU001004F:::fragment_2:::debris	383381	409381	26000
CMU001004F	CMU001004F:::fragment_3	409381	602730	193349
CMU001040F	CMU001040F:::fragment_1	0	287956	287956
CMU001040F	CMU001040F:::fragment_2:::debris	287956	297956	10000
CMU001040F	CMU001040F:::fragment_3	297956	529784	231828
CMU001108F	CMU001108F:::fragment_1	0	358330	358330
CMU001108F	CMU001108F:::fragment_2:::debris	358330	360330	2000
CMU001108F	CMU001108F:::fragment_3	360330	613747	253417
CMU001225F	CMU001225F:::fragment_1	0	262266	262266
CMU001225F	CMU001225F:::fragment_2:::debris	262266	264266	2000
CMU001225F	CMU001225F:::fragment_3	264266	544577	280311
CMU001230F	CMU001230F:::fragment_1	0	70481	70481
CMU001230F	CMU001230F:::fragment_2:::debris	70481	72481	2000
CMU001230F	CMU001230F:::fragment_3	72481	256481	184000
CMU001230F	CMU001230F:::fragment_4:::debris	256481	258481	2000
CMU001230F	CMU001230F:::fragment_5	258481	492167	233686
CMU001256F	CMU001256F:::fragment_1	0	141984	141984
CMU001256F	CMU001256F:::fragment_2:::debris	141984	151984	10000
CMU001256F	CMU001256F:::fragment_3	151984	495358	343374
CMU001300F	CMU001300F:::fragment_1	0	240060	240060
CMU001300F	CMU001300F:::fragment_2:::debris	240060	241060	1000
CMU001300F	CMU001300F:::fragment_3	241060	389440	148380
CMU001321F	CMU001321F:::fragment_1	0	76111	76111
CMU001321F	CMU001321F:::fragment_2:::debris	76111	78111	2000
CMU001321F	CMU001321F:::fragment_3	78111	418780	340669
CMU001367F	CMU001367F:::fragment_1	0	284736	284736
CMU001367F	CMU001367F:::fragment_2:::debris	284736	291736	7000
CMU001367F	CMU001367F:::fragment_3	291736	388915	97179
CMU001369F	CMU001369F:::fragment_1	0	100159	100159
CMU001369F	CMU001369F:::fragment_2:::debris	100159	105159	5000
CMU001369F	CMU001369F:::fragment_3	105159	389765	284606
CMU001400F	CMU001400F:::fragment_1	0	245246	245246
CMU001400F	CMU001400F:::fragment_2:::debris	245246	255246	10000
CMU001400F	CMU001400F:::fragment_3	255246	409227	153981
CMU001554F	CMU001554F:::fragment_1	0	180264	180264
CMU001554F	CMU001554F:::fragment_2:::debris	180264	190264	10000
CMU001554F	CMU001554F:::fragment_3	190264	317158	126894
CMU001672F	CMU001672F:::fragment_1	0	138690	138690
CMU001672F	CMU001672F:::fragment_2:::debris	138690	139690	1000
CMU001672F	CMU001672F:::fragment_3	139690	277716	138026
CMU001722F	CMU001722F:::fragment_1	0	69214	69214
CMU001722F	CMU001722F:::fragment_2:::debris	69214	71214	2000
CMU001722F	CMU001722F:::fragment_3	71214	125731	54517
CMU001722F	CMU001722F:::fragment_4:::debris	125731	129731	4000
CMU001722F	CMU001722F:::fragment_5	129731	264738	135007
CMU001961F	CMU001961F:::fragment_1	0	77806	77806
CMU001961F	CMU001961F:::fragment_2:::debris	77806	87806	10000
CMU001961F	CMU001961F:::fragment_3	87806	203026	115220
CMU001963F	CMU001963F:::fragment_1	0	619526	619526
CMU001963F	CMU001963F:::fragment_2:::debris	619526	621526	2000
CMU001963F	CMU001963F:::fragment_3	621526	679755	58229
CMU002076F	CMU002076F:::fragment_1	0	70903	70903
CMU002076F	CMU002076F:::fragment_2:::debris	70903	72903	2000
CMU002076F	CMU002076F:::fragment_3	72903	186521	113618
CMU002154F	CMU002154F:::fragment_1	0	118816	118816
CMU002154F	CMU002154F:::fragment_2:::debris	118816	128816	10000
CMU002154F	CMU002154F:::fragment_3	128816	204922	76106
CMU002248F	CMU002248F:::fragment_1	0	100824	100824
CMU002248F	CMU002248F:::fragment_2:::debris	100824	101824	1000
CMU002248F	CMU002248F:::fragment_3	101824	180804	78980
CMU002825F	CMU002825F:::fragment_1	0	42893	42893
CMU002825F	CMU002825F:::fragment_2:::debris	42893	52893	10000
CMU002825F	CMU002825F:::fragment_3	52893	70893	18000
CMU002825F	CMU002825F:::fragment_4:::debris	70893	71893	1000
CMU002825F	CMU002825F:::fragment_5	71893	107306	35413
CMU002830F	CMU002830F:::fragment_1	0	40951	40951
CMU002830F	CMU002830F:::fragment_2:::debris	40951	42951	2000
CMU002830F	CMU002830F:::fragment_3	42951	97531	54580
